key,n,row_ratio_jp
bus,846,0.0006
wheelchair:description,807,0.0006
hazard:name,786,0.0006
hazard:type,779,0.0006
name:de,775,0.0005
parking_space,771,0.0005
name:it,771,0.0005
fitness_station,771,0.0005
survey_date,766,0.0005
entrance,754,0.0005
payment:nanaco,754,0.0005
description:url,738,0.0005
attraction,730,0.0005
community_centre,729,0.0005
brand:zh-Hans,725,0.0005
level:ref,713,0.0005
branch:ja,705,0.0005
payment:maestro,687,0.0005
payment:jcoin_pay,683,0.0005
fuel:diesel,683,0.0005
brand:zh-Hant,681,0.0005
visibility,676,0.0005
archaeological_site,674,0.0005
KSJ2:AAC_V,673,0.0005
charge,655,0.0005
image,654,0.0005
source:geometry,649,0.0005
diet:vegetarian,649,0.0005
drink:juice,646,0.0005
cash_in,636,0.0005
diet:vegan,614,0.0004
alt_name:ko,602,0.0004
denomination:ja,597,0.0004
payment:yucho_pay,595,0.0004
gambling,586,0.0004
waste,576,0.0004
bath:type,558,0.0004
anime,554,0.0004
source:name,552,0.0004
faces,539,0.0004
opening_hours:covid19,534,0.0004
playground,534,0.0004
payment:smart_code,533,0.0004
access:disabled,529,0.0004
highway,527,0.0004
bin,523,0.0004
drinking_water,499,0.0004
not:brand:wikidata,496,0.0004
barrier,496,0.0004
contact:fax,491,0.0003
date,487,0.0003
payment:apple_pay,487,0.0003
description:en,484,0.0003
addr:flats,484,0.0003
stroller,463,0.0003
addr:room,463,0.0003
fuel:octane_91,454,0.0003
toilets:handwashing,452,0.0003
brand:ja-Latn,452,0.0003
studio,451,0.0003
hairdresser,443,0.0003
tomb,439,0.0003
old_name,428,0.0003
