level,rows,mean_tags,name_ratio
0,8103,3.8917684808095765,0.6205109218807849
1,16449,3.798711167852149,0.6027722049972642
2,46751,4.017710851104789,0.6126286068747192
3,119668,4.216331851455694,0.6200655145903666
4,268174,4.4074257758022775,0.6233639353554036
5,519244,4.408185746970596,0.5998547888853795
6,867593,4.245608251795485,0.5406210054714595
7,1369034,4.167185767482765,0.49478026111842366
8,2066800,4.270124346816335,0.4873398490419973
9,2899097,4.480364748057757,0.5063148973628685
10,3736212,4.667023980437941,0.5272535391460655
11,4401243,4.800141914454621,0.5360026701547722
12,4573226,4.913482517592614,0.5402114393646849
13,4002605,4.942797752963383,0.5307141224277689
14,2780623,4.75384688970781,0.4930585699679532
15,1502738,4.25245119242343,0.38373023108485976
16,874704,4.2040290201028006,0.28895374892535075
