key,n,row_ratio,nd_approx,dup_ratio,avg_len,med_len,max_len,multi_ratio,yes_no_ratio,numeric_ratio,url_ratio,phone_ratio,qid_ratio,upper_ratio,non_ascii_ratio,long_ratio,token_ratio,min_level,med_level
destination_display,16,0.0,2,0.875,10.8,10.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,13.0
seveso,16,0.0,5,0.6875,18.0,21.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,6,9.0
payment:d払い,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11.0
date_of_death,16,0.0,17,-0.0625,5.9,4.0,10,0.0,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.625,11,13.0
isced:2011:level,16,0.0,9,0.4375,13.0,15.0,25,0.375,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10.0
route:ref,16,0.0,1,0.9375,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,10.0
delivery:phone,16,0.0,15,0.0625,14.3,14.5,17,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,12.0
recycling:steel_cans,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,11.5
payment:bearcat_card,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,13.0
addr:rc_village,16,0.0,4,0.75,8.4,9.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,15.0
education_structure_type,16,0.0,10,0.375,13.1,10.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,5,9.0
bridge:structure,16,0.0,3,0.8125,6.8,8.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7.5
schedule,16,0.0,16,0.0,28.0,23.0,51,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.1875,0.0,8,10.0
ref:station_code,16,0.0,13,0.1875,10.1,10.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,10.5
lawyer:speciality:real_estate,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,11.5
healthcare_1,16,0.0,9,0.4375,10.9,11.0,15,0.0,0.0,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.9375,8,12.0
ref:RS:vatin,16,0.0,1,0.9375,9.0,9.0,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8,12.0
Nome,16,0.0,18,-0.125,13.0,12.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,6,10.0
shop:old,16,0.0,15,0.0625,7.6,7.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,12.0
name:vi-Hani,16,0.0,17,-0.0625,5.1,4.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,8.5
service:vehicle:chiptuning,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,10.0
payment:maingau_autostrom,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,11.5
short_name:th,16,0.0,17,-0.0625,8.5,8.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,10.0
ref:4en5mei,16,0.0,17,-0.0625,3.9,4.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,12.0
source:description:en,16,0.0,13,0.1875,21.3,12.0,78,0.0,0.0,0.0,0.1875,0.0,0.0,0.4375,0.0,0.0625,0.0,6,12.0
facility:siddha,16,0.0,1,0.9375,2.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,11.0
ref:vending_machine,16,0.0,18,-0.125,9.8,10.0,14,0.0,0.0,0.6875,0.0,0.6875,0.0,0.3125,0.0,0.0,0.6875,7,11.5
not:operator,16,0.0,11,0.3125,19.6,15.0,34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,5,10.5
_waypoint_,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,9.0
service_hours,16,0.0,15,0.0625,25.1,18.5,50,0.3125,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.25,0.0,7,12.0
letter_filter:no_freepapers,16,0.0,3,0.8125,1.1,1.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,12.0
payment:ewallet,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,11.0
clothes:denim,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,12.0
service:printing,16,0.0,3,0.8125,5.2,3.0,27,0.125,0.875,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.9375,7,12.0
historic:civilization:wikidata,16,0.0,2,0.875,9.0,9.0,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,8.0
kids_area:description,16,0.0,17,-0.0625,37.7,29.5,117,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.3125,0.375,0.125,9,12.0
capacity:fire_truck:tanker,16,0.0,2,0.875,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,11.0
district:congressional,16,0.0,1,0.9375,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9.0
microwave_oven,16,0.0,2,0.875,2.8,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,12.0
colour:guidepost,16,0.0,1,0.9375,6.0,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10.5
drink:fritz-limo,16,0.0,3,0.8125,6.3,6.5,7,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,12.0
distretto_scolastico,16,0.0,7,0.5625,1.8,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,10.0
check_date:bench,16,0.0,18,-0.125,10.0,10.0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,11.5
orac-number,16,0.0,16,0.0,10.4,10.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,11.0
recycling:motor_oil,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,11.5
charge:DC,16,0.0,2,0.875,10.1,10.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9375,0.0,0.0,5,10.5
watsan:pee_point,16,0.0,2,0.875,2.9,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,13.0
fuel:Kerosene,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10.0
old_name:ko,16,0.0,15,0.0625,6.3,6.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,8,10.5
ref:hermes,16,0.0,17,-0.0625,6.0,6.0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,12.0
short_name:fi,16,0.0,16,0.0,10.9,9.0,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,10,11.0
access:key,16,0.0,2,0.875,2.9,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,12.5
gun:type,16,0.0,4,0.75,11.3,4.5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.625,0.0,0.125,5,10.0
artwork:group,16,0.0,2,0.875,11.9,12.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,12.0
opening_hours:happy_hour,16,0.0,13,0.1875,21.7,17.0,62,0.25,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0625,0.0,6,12.0
old:website,16,0.0,17,-0.0625,36.4,29.5,67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,8,12.5
scuba_diving:snorkeling,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,11.0
socket:typeb,16,0.0,2,0.875,2.8,3.0,3,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,12.0
enclosure,16,0.0,1,0.9375,5.0,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6.0
ref:pos,16,0.0,18,-0.125,20.7,20.0,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,11.0
communication:amateur_radio:beacon:node,16,0.0,5,0.6875,47.3,26.5,110,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.4375,0.0,6,16.0
source:artwork_type,16,0.0,2,0.875,10.9,6.0,85,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.9375,5,12.5
old_collection_plate,16,0.0,6,0.625,3.8,3.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,8.0
addr:tole,16,0.0,16,0.0,8.1,8.0,14,0.0,0.0,0.0625,0.0,0.0,0.0,0.25,0.0,0.0,0.5,6,11.0
socket:sev1011_t13:output,16,0.0,6,0.625,5.7,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,11.0
old_collection_plate:date,16,0.0,11,0.3125,10.0,10.0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,8.0
was:official_name,16,0.0,16,0.0,29.4,29.0,46,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.1875,0.25,0.0,8,13.0
opening_hours:conditional,16,0.0,17,-0.0625,43.5,32.5,152,0.25,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.3125,0.0,9,12.0
payment:hamapay,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,10.0
name:aus,16,0.0,15,0.0625,14.9,12.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0625,0.0,0.0,3,11.5
taxon:cs,16,0.0,16,0.0,13.0,14.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,6,12.0
aircraft:military,16,0.0,6,0.625,7.8,7.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,13.0
facility:type,16,0.0,3,0.8125,33.1,41.0,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5625,0.0,2,7.0
name:mg,16,0.0,13,0.1875,27.9,27.5,64,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0,10.0
name:official,16,0.0,16,0.0,47.5,42.0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.625,0.5,0.0625,7,11.0
barbecue,16,0.0,7,0.5625,6.4,3.0,34,0.0,0.5625,0.0,0.0,0.0,0.0,0.3125,0.0625,0.0,0.6875,7,10.5
fuel:butane,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,11.0
was:recycling:small_appliances,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,11.5
ref:CIS_JR,16,0.0,11,0.3125,4.8,5.0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10.0
boat:tours,16,0.0,4,0.75,5.6,3.0,26,0.0625,0.75,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.9375,6,12.5
ref:Gangelt,16,0.0,17,-0.0625,1.9,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8.5
inscription:br,16,0.0,6,0.625,17.9,13.0,72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0625,0.0,5,11.5
manor:type,16,0.0,1,0.9375,14.0,14.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10.5
marketplace_type,16,0.0,4,0.75,8.6,5.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,7,11.0
horaires_vacances_ete,16,0.0,10,0.375,8.3,8.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,12.0
not:website,16,0.0,15,0.0625,29.8,27.5,67,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.125,0.0,10,13.0
communication:gsm,16,0.0,2,0.875,3.6,3.0,13,0.0,0.9375,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.9375,5,8.0
fixme:fax,16,0.0,13,0.1875,40.8,44.0,52,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.875,0.0,3,8.5
audio,16,0.0,11,0.3125,64.6,89.0,153,0.0,0.4375,0.0,0.5,0.0,0.0,0.5,0.0,0.5625,0.4375,5,9.0
alt_name:eu,16,0.0,13,0.1875,24.9,24.0,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0625,0.0,5,7.5
socket:type2_combo:frequency,16,0.0,1,0.9375,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,12.0
charge:AC,16,0.0,2,0.875,9.6,10.0,10,0.0,0.0,0.0625,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,5,10.5
currency:Real,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,12.0
medical_service:basic_emergency_obsteric_care,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,13.5
disused:addr:street,16,0.0,16,0.0,13.4,15.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.0,0.0,10,12.0
was:ref:FR:FINESS,16,0.0,16,0.0,9.0,9.0,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7,13.0
service:vehicle:bike,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10.5
playground:chess_table,16,0.0,2,0.875,2.6,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,12.0
maid,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,14.0
tickets:trolleybus,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,11.5
addr:city:sv,16,0.0,7,0.5625,6.8,6.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3125,0.0,0.0,3,9.0
date_crash,16,0.0,13,0.1875,12.1,11.0,17,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,6,8.0
payment:rupay,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,11.0
lunch:menu:course:salad,16,0.0,2,0.875,2.6,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,13.0
payment:pago_bancomat,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,11.0
water_tap:operator,16,0.0,1,0.9375,8.0,8.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,9.0
end_date:maintained,16,0.0,10,0.375,8.3,10.0,10,0.0,0.125,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.25,11,13.5
practitioner,16,0.0,17,-0.0625,54.3,36.5,234,0.6875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4375,0.0,8,11.0
branch:el,16,0.0,14,0.125,14.7,11.5,65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0625,0.0,10,12.5
景点,16,0.0,15,0.0625,3.3,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,9.0
capacity_water_storage_g,16,0.0,3,0.8125,1.4,1.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7.5
hazard_type,16,0.0,9,0.4375,9.4,9.0,15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,5,8.0
fire_station:loeschbezirk,16,0.0,18,-0.125,17.6,15.5,34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,8,10.0
geyser:type,16,0.0,4,0.75,7.4,8.0,19,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,2,8.5
pay_tv:sky,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11.5
interval,16,0.0,9,0.4375,4.1,5.0,6,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,7,10.0
climbing:mixed,16,0.0,2,0.875,2.3,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,10.5
addr:street:ta,16,0.0,11,0.3125,14.5,14.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,11.0
station_type,16,0.0,2,0.875,12.3,12.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,10.5
email:-2020,16,0.0,16,0.0,22.6,23.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13.0
carriage,16,0.0,3,0.8125,4.3,3.0,10,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,9.0
rescue_service,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,11.0
name:2008,16,0.0,13,0.1875,16.2,17.0,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,8,13.5
entertainment,16,0.0,12,0.25,7.1,6.5,16,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,11.0
medical_service:gender_based_violence_services,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,14.0
service:vehicle:sales,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9.0
ref:nr,16,0.0,13,0.1875,12.0,12.0,12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8,11.0
fuel:gasolina,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,8.5
amenity:cafe,16,0.0,1,0.9375,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,13.0
seamark:rock:water_level,16,0.0,4,0.75,6.5,6.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.5
ref:sig,16,0.0,17,-0.0625,15.3,16.0,16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8,12.0
fire_hydrant:pressure,16,0.0,10,0.375,1.9,1.0,7,0.0,0.0625,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,6,11.0
scraper_microdata:date,16,0.0,18,-0.125,19.0,19.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.0
addr:type:de,16,0.0,1,0.9375,15.0,15.0,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,12.0
disused:contact:phone,15,0.0,13,0.1333,14.8,15.0,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,12.0
water_distribution,15,0.0,2,0.8667,9.9,11.0,11,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,12.0
payment:sugoca,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,12.0
addr:city:uz-cyr,15,0.0,4,0.7333,13.5,13.0,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4,9.0
addr:description:ar,15,0.0,13,0.1333,20.6,16.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0667,0.0,7,11.0
recycling:blankets,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,12.0
payment:china_union_pay,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,10.0
service:vehicle:dent_repair,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8.0
addr:village:de,15,0.0,5,0.6667,12.7,11.0,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,10.0
change:XLT-ZINN,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,13.0
education_programme:en,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,11.0
old_name:2017,15,0.0,13,0.1333,15.8,12.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.9333,0.0667,0.0667,0.0667,12,13.0
ele:note,15,0.0,16,-0.0667,12.6,10.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.3333,0.0,0.0,6,10.0
recycling:food_cartons,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,13.0
comment:en,15,0.0,13,0.1333,27.7,18.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,0.0,0.2667,0.0667,11,12.0
was:name:ru,15,0.0,16,-0.0667,10.2,10.0,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,13.0
addr:suburb:zh,15,0.0,11,0.2667,2.5,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,11.0
wheelchair:description:pt-BR,15,0.0,4,0.7333,117.3,145.0,145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10,11.0
system,15,0.0,2,0.8667,26.4,32.0,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,11.0
source:stars,15,0.0,10,0.3333,9.6,8.0,21,0.1333,0.0,0.0,0.0667,0.0,0.0,0.0667,0.0,0.0,0.7333,8,12.0
health_specialty:cardiology,15,0.0,4,0.7333,6.0,3.0,39,0.0,0.7333,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.9333,8,12.0
laboratory:equipment,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,13.0
collection_times:paper,15,0.0,9,0.4,6.5,5.0,28,0.5333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,11.0
collection_times:plastic,15,0.0,6,0.6,3.9,2.0,10,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,11.0
purpose,15,0.0,10,0.3333,9.1,9.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.9333,6,9.0
payment:interlink,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,12.0
ref:local,15,0.0,16,-0.0667,15.1,15.0,41,0.0,0.0,0.0667,0.0,0.0,0.0,0.9333,0.9333,0.0667,0.0667,6,11.0
drink:absinthe,15,0.0,2,0.8667,3.4,3.0,6,0.0,0.8667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,12.0
name:ru1,15,0.0,7,0.5333,23.6,23.0,34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,12.0
layby,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9.0
collection_times:old,15,0.0,10,0.3333,20.3,21.0,21,0.9333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,11.0
service:bicycle:bike_tour,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11.0
payment:mir_pay,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,12.0
Number zone,15,0.0,15,0.0,4.8,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,14.0
image:menu:10,15,0.0,16,-0.0667,43.2,36.0,90,0.0,0.0,0.0,0.1333,0.0,0.0,0.0,0.0,0.1333,0.0,5,13.0
contact:twitch,15,0.0,11,0.2667,30.9,36.0,41,0.0,0.0,0.0,0.7333,0.0,0.0,0.0667,0.0,0.2667,0.2,6,12.0
value,15,0.0,12,0.2,8.2,1.0,44,0.0,0.0,0.5333,0.0,0.0,0.0,0.2667,0.0,0.1333,0.7333,2,11.0
recycling:bulky_waste,15,0.0,2,0.8667,2.9,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,10.0
name:genitive,15,0.0,13,0.1333,13.1,8.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.9333,0.2667,0.0667,0.0,5,7.0
payment:swiss_pass,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,13.0
pe:minsa:codigo,15,0.0,17,-0.1333,4.1,4.0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,9.0
Shape_Area,15,0.0,2,0.8667,3.8,3.0,15,0.0,0.0,0.9333,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,4,13.0
pinball,15,0.0,2,0.8667,2.9,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,13.0
payment:cadhoc,15,0.0,1,0.9333,3.0,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,12.0
climbing:url:thecrag,15,0.0,14,0.0667,61.3,76.0,77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.0,5,9.0
