lon10,lat10,rows
100.0,-20.0,64
100.0,60.0,59
-140.0,-30.0,58
80.0,70.0,57
-180.0,50.0,50
170.0,50.0,42
-180.0,20.0,34
70.0,-50.0,34
120.0,70.0,33
-80.0,60.0,31
100.0,70.0,31
-90.0,60.0,30
90.0,-20.0,30
-30.0,70.0,30
140.0,70.0,29
70.0,70.0,26
70.0,-70.0,26
160.0,-60.0,26
-40.0,-60.0,24
-150.0,-30.0,24
-100.0,70.0,24
-20.0,-10.0,23
-80.0,70.0,21
60.0,-50.0,20
-140.0,-20.0,20
130.0,70.0,16
120.0,-80.0,16
-180.0,-10.0,14
60.0,70.0,14
50.0,-50.0,12
70.0,-40.0,12
140.0,-70.0,12
-160.0,0.0,12
150.0,-60.0,12
110.0,70.0,11
110.0,-20.0,11
-50.0,0.0,11
-70.0,70.0,11
-150.0,70.0,10
-120.0,70.0,9
10.0,-80.0,9
-90.0,70.0,8
110.0,-70.0,7
-40.0,80.0,7
-70.0,80.0,7
50.0,80.0,7
160.0,10.0,6
-10.0,-80.0,6
-10.0,70.0,6
-170.0,20.0,5
50.0,70.0,5
-150.0,50.0,5
40.0,80.0,5
-130.0,70.0,5
60.0,-70.0,5
50.0,0.0,5
90.0,-70.0,4
30.0,-50.0,4
-180.0,30.0,4
170.0,-80.0,4
140.0,0.0,4
-30.0,80.0,3
-90.0,-80.0,3
-30.0,-60.0,3
-50.0,-70.0,3
0.0,-80.0,3
-30.0,-30.0,3
-90.0,-40.0,3
-50.0,50.0,3
130.0,-70.0,2
100.0,-80.0,2
140.0,-80.0,2
-170.0,0.0,2
-20.0,70.0,2
50.0,-90.0,2
-100.0,80.0,2
150.0,20.0,2
-60.0,-50.0,2
20.0,-80.0,2
-100.0,0.0,2
-170.0,-90.0,2
130.0,10.0,2
-70.0,-80.0,2
100.0,-70.0,2
-180.0,0.0,2
-20.0,-80.0,2
170.0,-30.0,1
40.0,-70.0,1
60.0,-90.0,1
-150.0,-50.0,1
-170.0,40.0,1
180.0,-20.0,1
30.0,-80.0,1
-170.0,70.0,1
-20.0,40.0,1
-90.0,-90.0,1
-160.0,-90.0,1
-50.0,40.0,1
70.0,-60.0,1
-40.0,70.0,1
-140.0,-90.0,1
-180.0,-90.0,1
-70.0,-90.0,1
-80.0,-80.0,1
40.0,-40.0,1
-40.0,-90.0,1
-30.0,-80.0,1
30.0,80.0,1
60.0,80.0,1
-20.0,80.0,1
-10.0,-30.0,1
0.0,-90.0,1
-160.0,-80.0,1
90.0,80.0,1
30.0,-70.0,1
70.0,-90.0,1
-10.0,-50.0,1
170.0,-90.0,1
-80.0,-90.0,1
70.0,-80.0,1
-30.0,50.0,1
0.0,90.0,1
-40.0,-80.0,1
-50.0,-90.0,1
50.0,-70.0,1
150.0,70.0,1
-120.0,10.0,1
-50.0,-40.0,1
