key,raw_variants,normalized_variants,collapsed
political_party,64,59,5
stars,88,83,5
map_type,215,210,5
name:sl,1110,1106,4
status,103,99,4
distance,1503,1499,4
fuel:discount,37,33,4
building_use,45,41,4
ward,107,103,4
certification,102,98,4
source:location,116,112,4
toilets:access,77,73,4
note:no,942,938,4
payment:electronic_purses,40,36,4
ownership,89,85,4
rooms,871,867,4
resource,171,167,4
fvst:name,2757,2753,4
source:name:br,21,17,4
man_made,545,541,4
name:lv,1363,1359,4
is_in:state,121,117,4
socket:schuko:output,74,70,4
health_person:type,24,20,4
education:type,34,30,4
disused:name:en,232,228,4
map_size,207,203,4
crop,47,43,4
cash_withdrawal,59,55,4
is_in:health_level10,323,319,4
wheelchair,170,166,4
place:description,74,70,4
building:condition,30,26,4
government:registered,18,14,4
waste:garbage_disposal,8,4,4
faculty,253,249,4
resort,118,114,4
name:id,1252,1248,4
ambulance_response,49,45,4
paho:department,14,10,4
museum,438,434,4
valves,63,59,4
cargo,90,86,4
studio,139,135,4
shelter_type,256,252,4
contact_person,1378,1374,4
source:ele,133,129,4
facing,22,18,4
place:neighbourhood,21,17,4
restaurant:type:it,157,153,4
alt_name:es,254,250,4
fast_food,84,80,4
max_age,164,160,4
description:ru,1249,1245,4
operator:hy,107,103,4
addr:suite,472,468,4
support,304,300,4
naptan:CommonName,495,491,4
socket:type2,124,120,4
toilet:arranged_name,32,28,4
post:street,3497,3493,4
education:supported_by,36,32,4
sector,101,97,4
full_name,4122,4118,4
guest_house,196,192,4
department,305,301,4
name:tj,568,565,3
gender,20,17,3
megalith_type,60,57,3
brand:hy,66,63,3
opening_hours:kitchen,3822,3819,3
addr:street:it,915,912,3
fountain,168,165,3
capacity:disabled,88,85,3
animal_breeding,174,171,3
description:no,341,338,3
designation:en,26,23,3
contact:youtube,6434,6431,3
level:ref,286,283,3
monitored_by,99,96,3
language,123,120,3
name:en1,492,489,3
operator:ru,218,215,3
village,167,164,3
commune,17,14,3
cycle_network,82,79,3
name_1,680,677,3
opening_hours:drive_through,1212,1209,3
ref:FR:SDIS:GRPT,27,24,3
rwn:name,31,28,3
contact:address,556,553,3
generator:source,54,51,3
description:nl,457,454,3
operator_type,38,35,3
socket:output,16,13,3
health_admin2_name,20,17,3
source:address,44,41,3
healthcare:fr,24,21,3
coffee:brand,137,134,3
isced,33,30,3
socket,60,57,3
name:md,328,325,3
IPP:ENDERECO,639,636,3
archaeological_site,478,475,3
description:es,887,884,3
source:addr:housenumber,102,99,3
socket:type2_combo,120,117,3
shooting,45,42,3
orientation,127,124,3
note:it,269,266,3
kitchen,53,50,3
fuel:cng,9,6,3
museum_type,61,58,3
addr:landmark,971,968,3
training,316,313,3
war_memorial,25,22,3
seasonal,127,124,3
seats,293,290,3
toilets:disposal,70,67,3
species:hu,19,16,3
place:suburb,12,9,3
genus:en,27,24,3
taxon,243,240,3
nature_of_facility,79,76,3
socket:typee:output,33,30,3
operator_id,42,39,3
operator:short,1386,1383,3
wheelchair:description:en,246,243,3
addr:community,56,53,3
school_type,102,99,3
name:hr,1889,1886,3
ele:source,33,30,3
garden:type,118,115,3
nrb_class,14,11,3
disused:amenity,187,185,2
description:cs,690,688,2
name:et,1120,1118,2
gambling,117,115,2
memorial:addr:housenumber,187,185,2
drought_prone,4,2,2
water:source_of_water,23,21,2
fuel:biogas,7,5,2
direction_east,18692,18690,2
description:payment,226,224,2
alt_name:nl,175,173,2
authentication:membership_card,52,50,2
centralkey,13,11,2
power_supply,65,63,2
Stobie1783,123,121,2
name:he,13488,13486,2
mineral,82,80,2
restaurant:type:nl,29,27,2
internet_access:fee,66,64,2
addr:boma,46,44,2
atm:operator,65,63,2
music_genre,47,45,2
highchair,23,21,2
operator:name,167,165,2
education:government_registered,13,11,2
biblioteca:tipo,4,2,2
damage_description,91,89,2
IPP:OBS,169,167,2
shipping,14,12,2
internet_access:type,14,12,2
amenity_2,64,62,2
finance,5,3,2
changing_table:location,74,72,2
payment:operator,19,17,2
species:fr,52,50,2
isced:level,181,179,2
protection_title,188,186,2
watsan:toilet_status,47,45,2
direction_southwest,15209,15207,2
ref:name,240,238,2
doctors_num,28,26,2
toilets_access,27,25,2
accessibility_pwd,4,2,2
atm:network,31,29,2
scolar_district,6,4,2
kindergarten:FR,24,22,2
wifi,38,36,2
attraction,413,411,2
charges,9,7,2
board:title:en,576,574,2
bdy_admin1_name,12,10,2
climbing:grade:french:max,31,29,2
source:alt_name,121,119,2
industrial,145,143,2
opening_hours:atm,76,74,2
monument,109,107,2
contributor,18,16,2
mall,14,12,2
building:use,78,76,2
local_ref,2121,2119,2
insurance:health,17,15,2
lighting,14,12,2
company,513,511,2
musical_instrument,83,81,2
produce,1073,1071,2
health_facility:referals,69,67,2
facility:opd,5,3,2
theatre:genre,64,62,2
position,86,84,2
bathroom,20,18,2
historic:status,7,5,2
site_status,12,10,2
is_in:cercle,17,15,2
addr:street:corner,1003,1001,2
rental,533,531,2
dispensing,209,207,2
cafe,48,46,2
socket:type:output,24,22,2
loading_dock,5,3,2
watsan:water_availability,16,14,2
fuel:biodiesel,5,3,2
building:name,51,49,2
car:type,18,16,2
place,164,162,2
education:funders,25,23,2
payment,145,143,2
operator:email,331,329,2
surveillance,52,50,2
education:mean_score,119,117,2
operator:type_description,20,18,2
wpt_symbol,80,78,2
telegram,447,445,2
healthcare:speciality:de,234,232,2
material:de,63,61,2
source:description:en,12,10,2
hotspot,5,3,2
shop_1,248,246,2
attribution,148,146,2
damage,13,11,2
waste_basket:model,36,34,2
watsan:users_per_day,147,145,2
bic,782,780,2
contents,43,41,2
name:no,1043,1041,2
helipad,4,2,2
outdoor_seating,167,165,2
healthcare:speciality:fr,57,55,2
handler:number,9,7,2
reusable_packaging:partner,7,5,2
motorcycle:type,47,45,2
toilets:type,24,22,2
watsan:type,26,24,2
addr:constituency,73,71,2
coopi_name_surveyor,17,15,2
notes,511,509,2
socket:tesla_supercharger:output,24,22,2
harbour:information,25,23,2
payment:cash,93,91,2
name:da,691,689,2
FONCTION,6,4,2
rock,12,10,2
species:wikipedia,874,872,2
is_in:commune,49,47,2
name:gl,1641,1639,2
atm,75,74,1
education:dropout_peer_pressure,2,1,1
name:disaster,21,20,1
feeding:fodder,35,34,1
aircraft:type,165,164,1
education:program_feeding,14,13,1
is_in:country,71,70,1
tomb,114,113,1
service:print,7,6,1
bunker_type,109,108,1
name:type,13,12,1
pub,18,17,1
vending_machine,59,58,1
comment:it,107,106,1
affiliation,21,20,1
oslokommune:Type_stativ,16,15,1
boundary_admin_level1_name,47,46,1
playground,261,260,1
ref:IFOPT:description,17,16,1
note:en,523,522,1
water:source,25,24,1
place:area,31,30,1
addr2:street,634,633,1
smoking,67,66,1
ramp:wheelchair,8,7,1
source:access,18,17,1
education:program_counseling,3,2,1
socket:sev1011_t23:output,8,7,1
water,60,59,1
post_office,35,34,1
cover,5,4,1
genus:nl,4,3,1
display_type,4,3,1
second chance youth,11,10,1
currency:NPR,2,1,1
fuel:HGV_diesel,8,7,1
viewpoint_direction,32,31,1
ec:tipo,7,6,1
day_off,6,5,1
approvissionnement,3,2,1
taxi:conditional,9,8,1
recycling:aluminium,6,5,1
payment:meal_voucher,9,8,1
education:dropout_poverty,2,1,1
toilets:wheelchair:accessible_via,9,8,1
education:program_sports,2,1,1
fuel:electricity,4,3,1
addr:region,219,218,1
addr:description,1629,1628,1
operator:de,114,113,1
source:ref,3975,3974,1
genus:fr,14,13,1
facility:operating_theater,4,3,1
direction_east:route,912,911,1
agrarian,304,303,1
name:kab,291,290,1
opening_hours:office,235,234,1
fuel:diesel,17,16,1
contact:telegram,2377,2376,1
contact:vk,15140,15139,1
operational_status_quality,9,8,1
geometry_source_type,8,7,1
short_name:en,477,476,1
guidepost:title,10,9,1
colour:back,46,45,1
disused:shop,347,346,1
recycling:clothes:operator,15,14,1
payment:icsf,5,4,1
service:scan,4,3,1
fire_station:type:SV,4,3,1
fire_object:type,8,7,1
source:type,11,10,1
hotel,23,22,1
is_in,1239,1238,1
protect_class,16,15,1
was:brand,298,297,1
operator:uk,36,35,1
taxon:ru,118,117,1
survey,87,86,1
brand:short,158,157,1
lamp_type,20,19,1
opening_hours:en,46,45,1
massage,127,126,1
high_water:waterway,30,29,1
artwork:material,68,67,1
street,173,172,1
ambulance,11,10,1
service_category,18,17,1
project:description,60,59,1
destination:lang:en,224,223,1
sport_1,44,43,1
old_brand,137,136,1
network:wikipedia,224,223,1
source:housenumber,30,29,1
addr:street_1,172,171,1
socket:type1_combo:output,87,86,1
ancillary_services,5,4,1
lunch:menu,109,108,1
vegan,5,4,1
cuisine:noodle,2,1,1
education:data_collection,3,2,1
health_admin1_name,13,12,1
addr:locality,138,137,1
facility,21,20,1
seveso,5,4,1
payment:debit_cards,49,48,1
lit,39,38,1
source:not:addr:postcode,4,3,1
genus:ru,37,36,1
business,49,48,1
region,27,26,1
camping,8,7,1
fortification_type,41,40,1
rwn,5,4,1
GPS,6,5,1
fuel:lpg,9,8,1
dedication:sr-Latn,21,20,1
brand:it,18,17,1
name:ga,1021,1020,1
access,98,97,1
opening_date,1198,1197,1
recycling:bottles,8,7,1
socket:type1_cable:output,21,20,1
live_music,17,16,1
tobacco,14,13,1
drinking_water:refill:network,20,19,1
club,265,264,1
building:type,6,5,1
indoor_seating,28,27,1
opening_hours:breakfast,64,63,1
created_by,129,128,1
deaf:description:en,20,19,1
mobile_phone:type,4,3,1
pastry,16,15,1
taxon:pl,7,6,1
disused:network,4,3,1
bicycle:rental,9,8,1
marker,82,81,1
was:operator:short,3,2,1
brand:facebook,650,649,1
watsan:funding,3,2,1
security:classification,2,1,1
dab,2,1,1
bank:type,3,2,1
medical_staff,12,11,1
ec:sede_tipo,3,2,1
theatre:type,23,22,1
key,81,80,1
school:ZM,3,2,1
note:cuisine,15,14,1
oneclass,3,2,1
wreck:type,27,26,1
cash_withdrawal:operator,73,72,1
historic:conflict,6,5,1
closed,38,37,1
addr:tole,16,15,1
boattype,53,52,1
description:floor,21,20,1
damaged,11,10,1
authentication,15,14,1
ruin,7,6,1
covered,67,66,1
internet_access,166,165,1
socket:type,21,20,1
millennium:network,13,12,1
source_1,98,97,1
backrest,67,66,1
post_office:parcel_pickup,44,43,1
name:ru-Latn,87,86,1
ref:sisa_tipologia,16,15,1
camp_pitch:type,27,26,1
admin_name,13,12,1
district,106,105,1
type_idn,43,42,1
scuba_diving:spoken_languages,22,21,1
lcn_ref,158,157,1
post_office:parcel_from,42,41,1
description:pl,193,192,1
post:country,17,16,1
school:code,17,16,1
post_box:type,82,81,1
court_area,15,14,1
parcel_locker:service_provider,15,14,1
name:oc,1756,1755,1
collection_plate,75,74,1
addr:lga,8,7,1
source:ref:UAI,14,13,1
fuel:octane_100,6,5,1
building_status,16,15,1
climbing:orientation,26,25,1
xmas:feature,17,16,1
facility:pathology_labs,4,3,1
panchayath,22,21,1
fuel:gasoline,4,3,1
watsan:type_description,20,19,1
payment:none,6,5,1
refrigerated,3,2,1
addr:street:en,996,995,1
warm_water,4,3,1
service:bicycle:retail,7,6,1
child_shelter,2,1,1
education:dropout_ignorance,2,1,1
admission,2,1,1
fuel:octane_102:name,2,1,1
mosque,3,2,1
wayside_cross:de,2,1,1
investitor,2,1,1
payment_centre:brand,3,2,1
contact:housename,156,155,1
ims:frequency,61,60,1
payment:XBT:operator,2,1,1
source:description,103,102,1
source:date,9974,9973,1
artist_name:en,161,160,1
parcel_pickup,10,9,1
diocese,214,213,1
wpt_description,657,656,1
wetap:statusnote,104,103,1
light:method,8,7,1
old_operator,209,208,1
board:title:el,119,118,1
sculpture_type,39,38,1
fee:conditional,438,437,1
format:top,35,34,1
source:official_name,25,24,1
climbing:rock,19,18,1
garden:style,31,30,1
tattoo,7,6,1
source:imagery,26,25,1
name:la,429,428,1
milestone_type,15,14,1
was:operator,189,188,1
pet,76,75,1
sustenance,17,16,1
is_in:health_level6,36,35,1
facility_manager,6,5,1
valve,13,12,1
education:fees_other,130,129,1
lawyer,77,76,1
bank,50,49,1
memorial:note,245,244,1
source:contact,43,42,1
zone,369,368,1
education:fees,103,102,1
zona de abastecimento,9,8,1
note:fr,256,255,1
building:architecture,67,66,1
place:division,20,19,1
contact:unit,32,31,1
ipd,16,15,1
barrier,92,91,1
whitewater:put_in;egress,7,6,1
service:type,8,7,1
use,59,58,1
workshop,47,46,1
public_transport_tickets,7,6,1
note:materiaux,4,3,1
addr:country,235,234,1
name:tg,396,395,1
MHK:Style,12,11,1
security,21,20,1
activities,8,7,1
beacon:type,3,2,1
contact:full,18,17,1
discount:citycard,3,2,1
place:ADP_area,3,2,1
Second chance youth,2,1,1
cash_withdrawal:currency,17,16,1
education:program_orphans,3,2,1
payment:TaM,2,1,1
service:copy,3,2,1
post_office:parcel_to,42,41,1
kiosk,18,17,1
direction_south:route,969,968,1
watering_place,6,5,1
recycling:hardcore,3,2,1
high_pressure_washer,3,2,1
name:prefix,220,219,1
socket:type2:current,65,64,1
direccion,12,11,1
otro,3,2,1
payment:credit_cards,65,64,1
shop:fr,18,17,1
opening_hours:phone,128,127,1
currency:others,12,11,1
name:fur,89,88,1
description:hu,397,396,1
fire_station:type,28,27,1
takeaway,89,88,1
parking:zone,29,28,1
fishing,35,34,1
boundary_admin_level4_name,35,34,1
voltage,130,129,1
species:pt,17,16,1
addr:settlement,53,52,1
recycling:plastic_packaging,14,13,1
name:botanical,40,39,1
education:student_age_range,101,100,1
toys,27,26,1
operator:be,95,94,1
socket:nacs:output,39,38,1
climbing:grade:french:min,33,32,1
damage:type,12,11,1
seamark:type,57,56,1
pay_amount,46,45,1
internet_access:password,323,322,1
addr:city:en,230,229,1
police:FR,8,7,1
hh_served,27,26,1
licensed,9,8,1
military,74,73,1
name:co,301,300,1
listed_status,26,25,1
contact:place,242,241,1
facility:ventilator,3,2,1
roof:shape,36,35,1
pedagogy,36,35,1
naptan:Status,3,2,1
education:dropout_school_fees,2,1,1
contact:tiktok,2001,2000,1
operator:addr,1124,1123,1
education:dropout_pregnancy,3,2,1
school:operator,3,2,1
ups_other,6,5,1
species:ru,18,17,1
access:conditional,341,340,1
ethnicity,18,17,1
sample_collection:test_type,8,7,1
school:BJ,3,2,1
governance:fund_source,16,15,1
community:en,11,10,1
government_registered,5,4,1
facility:ambulance,5,4,1
delivery:partner:en,2,1,1
tailor:alteration_service,4,3,1
building:status,5,4,1
facility:ipd,4,3,1
festival:Avignon_In:2015,3,2,1
change_machine,3,2,1
fuel:octane_90,4,3,1
currency:IQD,2,1,1
stamping_machine,3,2,1
toilets:paper_supplied,3,2,1
free_flying:paragliding,4,3,1
deaf:description:friendly,2,1,1
operator:atm,4,3,1
recycling:tv_monitor,3,2,1
person:date_of_death,2868,2867,1
insurance,179,178,1
liaison,8,7,1
city,169,168,1
parking,178,177,1
twitter,1258,1257,1
martial_arts,27,26,1
old_name_1,258,257,1
source:building,16,15,1
is_in:region,22,21,1
socket:type2_combo:current,114,113,1
direction_north:route,948,947,1
utm_coordinates,1173,1172,1
name:suffix,162,161,1
memorial:addr,12467,12466,1
drink,102,101,1
media,238,237,1
place:location,54,53,1
public_transport_network,7,6,1
maker,3,2,1
addr:parentstreet,611,610,1
recycling:paper_packaging,6,5,1
free_flying:site,11,10,1
cuisine:ja,438,437,1
length,602,601,1
socket:ccs:output,15,14,1
lit_operational,3,2,1
technology,19,18,1
source:placement,5,4,1
source:gambling,2,1,1
books,390,389,1
defibrillator:location,1298,1297,1
fireplace,27,26,1
showcase,7,6,1
tailor:bespoke_tailoring,3,2,1
delivery:description:it,97,96,1
direction_southwest:route,924,923,1
pump,26,25,1
operational_status:electricity,5,4,1
operator:glass_bottles,3,2,1
internet,45,44,1
lastcheck:status,18,17,1
addr:street_address,516,515,1
fuel:e85,6,5,1
cbo:data_collection,2,1,1
toilets,112,111,1
fuel:adblue,6,5,1
heritage:RS:jurisdiction,15,14,1
opening_hours:description,233,232,1
socket:typee,33,32,1
place:district,9,8,1
artist:wikipedia,2223,2222,1
franchise,43,42,1
image:license,23,22,1
protected,15,14,1
opening_hours:signed,96,95,1
source:collection_times,24,23,1
payment:coins,66,65,1
fuel:octane_92,4,3,1
parking_space,114,113,1
real_ale,553,552,1
name:cnr-Cyrl,226,225,1
time,288,287,1
name:zh-Latn-pinyin,7206,7205,1
education,146,145,1
note:es,81,80,1
rating,24,23,1
charging_station:plug,16,15,1
operator:it,46,45,1
post_office:operator,26,25,1
scuba_diving:organization,16,15,1
electronics_repair,112,111,1
education:dropout_ghosts,3,2,1
education:committees,20,19,1
pump_mechanism,6,5,1
addr:street:type,7,6,1
speciality,136,135,1
safety:health_protocol_guidelines_by:covid19,10,9,1
recycling:paper,33,32,1
handwashing:soap,6,5,1
education:program_feeding_description,17,16,1
note:profession du defunt,22,21,1
cycling,12,11,1
lwn:name,7,6,1
building:roof,38,37,1
fire_rank,10,9,1
specialist,17,16,1
wheelchair:description:es,26,25,1
handicap,11,10,1
post:housename,41,40,1
topic,43,42,1
theme,143,142,1
socket:gb_dc:output,56,55,1
investitors,2,1,1
province,18,17,1
harbour:fuel_station,8,7,1
tourist_bus,7,6,1
lottery,10,9,1
payment:lightning,6,5,1
jurisdiction,4,3,1
material:en,7,6,1
organic:label,7,6,1
drive_through,31,30,1
NOTE,21,20,1
remark,49,48,1
school_zone,12,11,1
disaster,4,3,1
long_name:fr,25,24,1
clothes:underwear,4,3,1
source:disused,7,6,1
fuel:1_50,4,3,1
fuel:GTL_diesel:name,5,4,1
biergarten,3,2,1
payment:ach,2,1,1
education:extra_scouts,3,2,1
water_place_durability,3,2,1
safe_place:protected,2,1,1
socket:schuko:current,18,17,1
owner_water,3,2,1
recycling:organic,6,5,1
OBTC,2,1,1
initiative:it,2,1,1
recycling:bicycles,3,2,1
fee:currency,2,1,1
lgbtq:signed,3,2,1
hazard:es,2,1,1
fuel:1_25,4,3,1
route:name,36,35,1
grill,2,1,1
people_using_facility,16,15,1
plug,6,5,1
education:dropout_early_marriage,3,2,1
cannabis,5,4,1
departement,3,2,1
Sitio,2,1,1
frequency,220,219,1
