key,multi_pairs,occurrences,avg_parts
happy_hours,115,115,2.29
route_marker:bicycle:colour,8,113,2.5
destination:SW,112,113,3.04
source:addr,55,113,2.02
destination:SE,113,113,3.01
destination:NW,112,112,2.99
loc_name,109,112,2.4
opening_hours:workshop,102,111,2.57
osmc:symbol,51,111,2.41
description:fr,71,111,2.66
architect,102,109,2.17
destination:lang:bg,69,108,4.13
authentication:short_message:text,106,108,2.0
opening_hours:post_office,89,106,2.4
socket:gb_dc:output,25,105,2.24
historic:period,30,104,2.3
historic,57,103,2.05
historic:operator,87,103,3.72
socket:gb_dc,51,102,2.25
disused:shop,98,102,2.26
description:it,101,102,3.42
post_office:service_provider:wikidata,33,102,2.42
was:opening_hours,100,101,2.51
opening_hours:reception,81,101,2.56
markings,1,99,2.0
destination:NE,97,99,2.94
aircraft:type,12,99,2.25
guide_type,5,99,2.0
source:amenity,4,99,2.0
subject:wikipedia,88,99,2.03
insurance:health,7,99,3.14
playground,67,97,3.03
generator:source,11,95,2.18
colour:back,19,91,2.16
inscription:de,90,91,4.72
fountain,13,90,2.31
animal_breeding,85,89,2.59
opening_hours:phone,73,89,2.37
socket:type2_combo:ref,89,89,2.04
map_type,29,88,2.17
post_office:brand:wikidata,46,87,2.5
drink:beer,25,87,2.76
camp_site:type,1,87,2.0
emergency_telephone_code,27,86,2.93
language,61,85,3.48
isced,4,85,2.25
source:addr:postcode,6,84,2.17
surface,36,84,2.03
operator:wikidata,34,84,2.15
health_person:type,4,83,2.75
studio,19,83,2.16
ele,78,82,2.0
breakfast,71,82,2.2
wheelchair,20,82,2.55
bicycle_parking,41,80,2.02
source:historic,3,80,2.67
massage,51,80,2.71
source:operator,3,79,2.0
training,58,79,2.9
capacity,60,78,2.03
health_amenity:type,45,77,3.69
pet,23,77,2.65
phone:mobile,77,77,2.03
source:contact,8,76,2.25
real_ale,47,76,3.79
disused:opening_hours,74,75,2.53
survey:date,64,74,2.06
ref:GB:uprn,72,72,2.15
payment:szep,7,71,2.57
opening_hours:pharmacy,65,71,2.66
taxi:prefix,59,70,7.51
artist:wikipedia,38,69,2.16
was:cuisine,68,69,2.46
maxstay:conditional,54,69,2.2
historic:civilization,45,68,2.27
butcher,50,68,3.08
canoe,1,68,2.0
map_size,17,67,2.06
name:etymology:wikidata,33,67,2.06
note:de,48,67,2.21
floor:material,34,66,2.26
contact:housenumber,54,65,2.06
brand:wikipedia,32,65,2.03
toilets:hands_drying,7,65,2.14
opening_hours:delivery,63,64,2.75
alt_name:bo,63,63,2.79
operator:phone,14,63,2.0
buried:wikidata,62,62,2.31
operator:type,40,61,2.08
memorial:text,59,61,5.12
male,5,61,2.0
drink:wine,15,60,2.4
historic:era,20,60,2.15
operator:ref:ico,59,60,2.69
source_ref,55,59,2.18
motorcycle:type,31,59,2.48
park_ride,9,58,2.22
sells,58,58,3.53
ref:UAI,58,58,2.12
charging_point:ref,57,57,2.05
healthcare:speciality:de,53,57,2.32
payment:app,4,57,2.25
government,53,55,2.57
grades,34,55,4.09
health_facility:type,49,55,6.0
artwork_type,39,55,2.36
provides,40,54,3.0
amperage,15,54,2.67
religion,31,54,2.23
ref:mise,54,54,2.04
direction_southwest:ref,44,53,2.34
permit,3,53,2.0
feeding:for,5,53,2.0
ref:FR:MemorialGenWeb,52,52,2.25
wholesale,40,52,2.38
source:payment,3,52,2.0
memorial:name,52,52,2.94
owner,50,51,2.3
statue,9,50,2.0
shooting,24,50,3.38
furniture,28,50,3.61
manufacturer,29,50,2.07
contact:youtube,28,50,2.14
distillery,38,49,3.61
check_date,48,49,2.06
ref:FR:SMICOTOM,49,49,2.16
repair,41,49,2.59
faculty,40,48,2.23
alt_ref,39,48,2.0
sustrans_ref,48,48,2.0
FIXME,31,47,2.03
services,42,47,3.43
memorial:conflict:wikidata,10,47,2.6
compressed_air:valves,9,46,2.33
is_in:admin_level8,10,45,2.0
gender,4,45,2.25
fuel:octane,1,45,2.0
opening_hours:bar,45,45,2.49
destination:2,43,44,3.21
not:operator:wikidata,4,44,2.25
female,7,44,2.43
plug,2,44,2.0
ref:nobil,44,44,2.0
erected_by,12,43,2.17
disused:cuisine,42,43,2.17
artwork_subject,43,43,2.58
direction_south:3,39,42,2.38
power_supply,9,42,2.44
lunch,34,42,2.21
dataset,5,42,2.0
routes,7,42,3.14
drink,35,41,3.4
destination:1,40,41,3.0
socket:chademo:output,26,41,2.38
emergency:phone,23,41,2.3
source:mineral,3,41,2.0
old_fhrs:id,41,41,2.27
direction_west:3,41,41,2.39
water_supply,21,40,2.38
contact:linkedin,22,40,2.0
car_service,1,40,2.0
musical_instrument,33,40,3.27
repeat_on,20,40,3.15
direction_northwest:ref,37,40,2.24
direction_southeast:ref,37,39,2.22
school:CD,1,39,2.0
amenity:note,2,39,2.0
lawyer,20,39,2.25
addr:village,25,39,2.04
opening_hours:service,33,39,2.45
oslokommune:Regulering,21,38,2.0
surveillance,11,38,2.36
bicycle:type,21,38,3.05
medical_supply,28,38,2.75
alt_name:fr,21,37,2.48
direction_north:3,37,37,2.57
direction_south:ref,33,37,2.24
text1,36,37,2.0
post_office:parcel_pickup,26,37,2.46
content,9,37,3.78
media,34,36,2.94
alt_name:zh,36,36,2.75
computer:type,21,36,3.33
source:ref,5,36,2.0
direction_east:3,36,36,2.31
direction_north:ref,31,36,2.32
country,34,36,3.65
boat:type,15,35,2.8
aerospace:product,31,35,2.23
post_office:parcel_from,26,35,2.54
memorial:subject,34,35,2.26
depth:technique,6,35,3.33
was:amenity,20,34,2.0
drinking_water,5,34,2.0
buried,34,34,2.5
graffiti:tag,32,34,2.78
source:manufacturer,2,34,2.0
heritage:operator,9,33,2.11
ref:open.toronto.ca:street-furniture-bicycle-parking:id,33,33,3.91
identity,23,33,3.0
ticket_validator:ref,9,33,2.0
kultohr:ref,33,33,2.0
old_shop,32,32,2.09
feeding:fodder,6,32,2.17
cost,32,32,2.06
socket:type2:ref,32,32,2.0
inscription:2,32,32,3.0
direction_northwest:3,32,32,2.44
alt_name:he,6,32,3.0
ref:GR:IDRO,31,31,2.13
vaccination,10,31,3.9
opening_hours:phone:appointments,16,31,2.0
payment:credit_cards,6,31,2.0
post:unit,29,31,8.69
socket:type2_combo:current,18,30,2.06
source:post_office,1,30,2.0
healthcare:speciality:fr,29,30,3.83
direction_east:ref,28,30,2.21
delivery:partner:wikidata,14,30,2.5
opening_hours:en,29,30,3.24
direction_southwest:3,30,30,2.5
ref:afdc,30,30,3.2
parking_space,12,30,2.0
route:name,21,29,2.05
addr:lot,27,29,2.81
destination:3,27,29,2.26
arrow:symbol,2,29,2.0
direction_northeast:3,29,29,2.28
opening_hours:description,29,29,2.62
water,3,28,2.0
