key,multi_pairs,occurrences,avg_parts
name:nl,6,6,2.0
surveillance:type,3,6,2.0
safety:health_protocol_guidelines_by:covid19,4,6,2.0
source:website,4,5,2.0
title,5,5,2.0
clothes:vintage,2,5,2.0
water_park,3,5,2.0
entrance,3,5,2.0
post:block,5,5,2.2
drink:tea,5,5,2.2
min_age,5,5,2.2
post:street,4,5,3.0
source_ref:url,3,5,3.33
goods,5,5,4.2
dog,5,5,2.2
school_type,4,5,2.0
ownership,2,5,2.0
departures_board,2,5,2.0
car_rental,1,5,2.0
parcel_dimensions,1,5,2.0
board:subtitle,4,5,3.5
wpt_description,5,5,2.2
shop:type:it,5,5,2.4
digital_access,3,5,2.33
OGD-Stmk:ARZTNR,5,5,2.8
wine:vineyard,4,5,3.25
bicycle_rental,4,5,2.0
hardware,5,5,2.6
note:charge,3,5,2.33
openplaques:id,5,5,2.2
opening_hours:sauna,5,5,2.0
alt_name:cs,5,5,2.0
school:CM,1,5,2.0
format,3,5,2.0
opening_hours:female,5,5,3.0
ref:ruian:addr,5,5,2.0
direction_northwest:4,5,5,2.8
cycle_network,2,5,2.0
internet_access:registration:type,5,5,4.8
office:opening_hours,4,5,2.5
output,5,5,2.2
alt_shop,5,5,2.2
direction_southwest:4,5,5,2.4
disused:clothes,3,5,2.67
bicycle:air,2,5,2.0
direction_northeast:osmc:symbol,5,5,3.8
removed:direction_east,5,5,4.6
trailer:type,5,5,3.8
socket:nacs:output,3,5,2.0
condition:time_interval,4,5,2.0
car_parts,5,5,2.6
pedagogy,4,5,2.25
museum_type,5,5,2.0
website:booking,5,5,3.4
source:self_service,1,5,2.0
ref_1,5,5,2.0
old:opening_hours,5,5,2.4
games,5,5,2.2
year_of_construction,5,5,2.2
post_box:type,5,5,2.0
blind:description:de,5,5,3.0
robot:type,5,5,3.4
ref:FR:RPPS,5,5,3.4
heritage,1,5,2.0
inscription_2,5,5,3.2
collection_plate,4,5,2.0
opening_hours:note,5,5,2.2
cityracks.rackid,5,5,2.2
wine:grape,5,5,6.0
lcn_ref,5,5,2.0
crop,5,5,3.4
direction_northwest:osmc:symbol,5,5,3.6
designation,5,5,2.0
direction_northeast:distance,5,5,3.4
healthcare:fr,5,5,2.4
heading:northwest,5,5,2.4
capacity:free:hourly:winter,5,5,2.0
playground:theme,5,5,2.2
source:population,1,5,2.0
bicycle_library:for,3,5,2.33
opening_hours:Schmerzsprechstunde_und_Wochenende,1,5,2.0
source:recycling:glass_bottles:colour,3,5,2.0
hairdresser,5,5,2.4
power,3,5,2.33
opening_hours:retail,5,5,2.4
contact:twitter,4,5,2.0
phone:opening_hours,5,5,2.0
service_hours,5,5,3.0
direction_northwest:distance,5,5,3.6
addr:parish,5,5,2.2
direction_southeast:distance,5,5,3.4
utm_coordinates,5,5,2.0
name:pl,5,5,2.0
traffic_sign:2,5,5,2.0
trailer:sales,1,5,2.0
recycling:shoes,1,4,2.0
display,2,4,2.0
alt_name:sr-Latn,4,4,2.25
financial,1,4,4.0
self_service:conditional,4,4,2.25
theme,4,4,2.0
watsan:users_per_day,4,4,2.25
founder:wikipedia,1,4,2.0
founder:wikidata,1,4,2.0
addr:level,3,4,2.0
confectionery,4,4,2.0
ref:rspo,4,4,2.75
name:ne,4,4,2.0
artwork:subject,3,4,5.33
seamark:source,2,4,2.0
bicycle:sales,1,4,2.0
high_ropes_course:start,4,4,2.0
route_ref:De_Lijn,4,4,5.75
commemorates,4,4,2.0
opening_hours:winter,4,4,2.0
food:ful,2,4,2.5
hazard,4,4,2.25
direction_southeast:4,4,4,2.75
direction_west:osmc:symbol,4,4,4.25
opening_hours:lobby,4,4,3.0
board:title:el,4,4,2.0
opening_hours:visitors,4,4,2.75
name:sl,4,4,2.25
alt_name:sr,4,4,2.25
is_in:country,2,4,2.0
atm:opening_hours,4,4,2.25
note:route,1,4,2.0
alt_name:pl,4,4,2.0
was:direction,4,4,2.0
atm,3,4,2.0
gift,4,4,2.5
route_marker:bicycle:direction:backward,3,4,2.0
parking:description,4,4,2.0
cafe:type:it,4,4,3.0
car:type,4,4,2.75
public_transport,4,4,2.5
opening_hours:conditional,4,4,4.0
opening_hours:rubbish,4,4,3.0
description:de:covid19,2,4,2.0
fixme:en,1,4,2.0
direction_southeast:osmc:symbol,4,4,4.0
contact:person,4,4,2.25
school:orientation,3,4,2.67
fixme:fr,1,4,2.0
opening_hours:male,4,4,3.25
mass_times,4,4,3.25
hazard:name,4,4,2.0
vehicle:type,4,4,2.0
former_name,4,4,2.0
structure,4,4,5.0
source:branch,1,4,2.0
description:ko,3,4,3.0
newspaper,1,4,2.0
winery,4,4,6.0
relation:route,3,4,2.0
brand:ja,4,4,2.0
brewery:wikidata,4,4,2.25
operator:website,4,4,2.0
protection_title:category,4,4,2.25
league,4,4,2.75
for,2,4,2.0
inscription_3,4,4,2.75
brewery:weizen,4,4,2.0
specialty,4,4,2.75
source:fixme,1,4,3.0
listed_status,4,4,2.0
direction_southwest:distance,4,4,6.25
logistics,4,4,2.5
source:ele,4,4,2.0
kitchen,4,4,2.25
name:ta,4,4,2.0
ref:FR:CUB,4,4,2.0
mtb,3,4,2.67
water:communities_yes,4,4,3.25
socket:type1:output,4,4,4.0
assortment,3,4,3.67
gaming,2,4,2.0
contact:centrex,4,4,2.0
unit,2,4,2.0
network_mm,2,4,2.0
note:destination2,3,4,2.67
opening_hours:fr,4,4,2.5
literatur,1,4,3.0
was:brand,4,4,2.75
partner,2,4,2.0
mineshaft_type,2,4,2.0
video:format,2,4,2.5
power_supply:maxcurrent,4,4,2.0
memorial:subject:wikidata,3,4,2.0
ref:open.toronto.ca:bicycle-parking-high-capacity-outdoor:id,3,4,2.0
informal,1,4,2.0
paving_stones:shape,1,4,2.0
artwork:material,4,4,2.0
ref_name,4,4,2.0
opening_hours:happy_hour,4,4,2.25
source:outline,2,4,2.0
lit,4,4,2.25
ref_name:PT:dgeg:precos-combustiveis,4,4,2.0
contact:addr,4,4,2.0
camera:direction,4,4,2.25
activation,1,4,3.0
opening_hours:donations,4,4,2.5
source:safety:mask,1,4,2.0
was:fhrs:id,4,4,2.25
game,2,4,2.5
source:heritage,4,4,2.0
royal_cypher:wikidata,3,4,2.0
direction_north:5,4,4,2.75
note:,4,4,3.0
opening_hours:comment,4,4,2.0
socket:type1_combo,2,4,2.0
ref:EU:EVSE:1,4,4,6.0
covered,2,4,2.0
removed:operator,4,4,2.25
direction_west:5,4,4,2.5
note:fi,2,4,2.0
lacounty:ain,4,4,2.0
alt_name:vi,4,4,2.25
ref:evse,4,4,2.0
toilet,4,4,2.0
hazard_type,1,4,2.0
clock:direction,2,4,2.0
direction_south:5,4,4,2.75
alt_name:uk,4,4,2.5
community_center:for,3,4,2.33
fireplace,2,4,2.5
route_marker:bicycle:direction:forward,4,4,2.25
source:delivery,2,4,2.0
source:contact:phone,1,4,2.0
viewpoint:direction,4,4,3.5
name:ca,4,4,2.75
old_ref:EU:EVSE,4,4,2.5
last_collection,4,4,2.0
opening_hours:dispensing,4,4,3.0
ministry,4,4,3.25
ref:IE:smr,4,4,4.0
it:sales,4,4,2.75
opening_hours:cashier,4,4,3.5
drink:bionade,2,4,2.0
ref:volme_galerie,3,3,2.0
collection,3,3,2.0
ruins,3,3,2.0
maxheight,2,3,2.0
operator_partners,3,3,2.67
ref:FR:RNA,3,3,2.0
drinks,3,3,2.67
ref:iz,3,3,2.0
capacity:parent,3,3,2.0
addr:floor:ref,2,3,2.0
opening_hours:exhibition,3,3,2.67
lunch:warm,3,3,2.0
war_memorial,2,3,3.0
name:alt,3,3,2.33
naptan:AtcoCode,3,3,2.67
fee:description,3,3,2.33
tyre_repair,3,3,2.33
vehicle,1,3,2.0
disabled,1,3,2.0
opening_hours:holidays,3,3,3.0
flour,3,3,3.33
valid_in,3,3,2.67
slipway,2,3,3.0
addr:suite,3,3,2.67
cooking:specialities,3,3,2.0
emergency:social_facility:id,3,3,2.0
removed:direction_west,3,3,3.67
tyres,2,3,2.0
technology,3,3,2.33
party,2,3,2.0
taxi:conditional,3,3,2.0
name:sk,3,3,2.0
platforms,3,3,2.0
delivery:covid19,3,3,2.0
disused:owner,3,3,2.0
grave:marker,3,3,2.0
cuisine:specialty,3,3,2.0
service:vehicle:glass,1,3,2.0
description:2,3,3,2.33
disabled:conditional,3,3,2.0
destination:right,3,3,2.67
christ:colour,2,3,2.0
commemorates:wikidata,3,3,2.33
ref:EVSEID,3,3,2.0
safety:mask:covid19,3,3,2.67
opening_hours:bakery,3,3,2.33
alt_name:mr,3,3,2.33
naptan:Landmark,3,3,2.33
on_air:frequency,3,3,2.33
alt_name:ku,3,3,2.67
tours,3,3,2.33
hiking,2,3,2.0
old_name:be,3,3,2.67
dedicatee,3,3,2.0
ref:cui,3,3,3.67
service:vehicle:car_repair,3,3,2.67
note:fr,3,3,2.0
source:socket,1,3,2.0
water:source_of_water,3,3,2.0
not:historic,1,3,2.0
note:lit,3,3,2.0
water_quality_issue,3,3,2.0
alt_name:ko,3,3,2.0
employee,3,3,2.0
brand:website,3,3,2.33
rooms,3,3,2.67
arcade_game,3,3,2.67
old_name:de,3,3,2.0
workshop,3,3,2.67
ims:frequency,3,3,2.0
payment:coins:type,1,3,2.0
delivery:gofood,3,3,2.0
construction,3,3,2.33
position,1,3,2.0
drink:cider,2,3,2.0
mtb:description,1,3,2.0
public_figure,3,3,2.0
ref:IFOPT,3,3,2.67
engineer:type,3,3,2.0
bath:type,2,3,2.0
kayak,2,3,2.5
suspended_food,2,3,2.0
facility:services,1,3,15.0
was:direction_southwest,3,3,2.67
contact:postcode,3,3,2.0
board:title:en,3,3,2.0
kml_folder,3,3,2.0
tickets,2,3,2.0
year,2,3,2.5
mascot,2,3,2.0
seamark:topmark:colour,2,3,3.5
clothes:women,1,3,2.0
description:payment:en,2,3,2.0
old_name:zh,3,3,2.0
opening_hours:postal,3,3,2.33
direction_northwest:en,3,3,2.33
is_in:city,2,3,3.0
source:motorcar,1,3,2.0
opening_hours:food,3,3,2.0
contact:vhf,3,3,3.0
camera:sales,1,3,2.0
opening_hours:car_repair,3,3,2.67
ref:GR:kepId,3,3,2.0
description:opening_hours,3,3,2.67
pet_grooming,1,3,2.0
service:bicycle:repair,2,3,3.0
authority,1,3,3.0
design,3,3,3.67
parking:disabled,2,3,2.0
old_postal_code,3,3,2.0
GNS:id,3,3,2.33
reception_desk:for,2,3,2.0
description_1,3,3,2.0
electronics:type,2,3,4.0
source:number,1,3,2.0
phone:IT,2,3,2.0
disused:ref,3,3,2.0
openfire:conditional,1,3,4.0
interior_decoration,3,3,2.33
sample_collection:test_type,3,3,2.0
supervised,3,3,2.33
drink:soft_drink,3,3,2.67
was:direction_southeast,3,3,3.0
check_date:recycling,3,3,2.0
confluence,3,3,2.0
video,3,3,2.0
contact:phone:description,2,3,2.0
buried:wikipedia,3,3,2.0
ref:msal,3,3,2.0
direction_southwest:5,3,3,2.33
not:addr:postcode,3,3,2.0
species:sw,1,3,2.0
model:wikidata,3,3,2.0
ref:FR:NM,3,3,2.0
railway:signal:main:states,1,3,3.0
note:direction,3,3,2.67
direction_west:distance,3,3,3.67
delivery:grabfood,3,3,3.33
ref:nces,3,3,2.0
old_short_name,2,3,3.0
provided_for,2,3,2.5
name:pt,3,3,2.33
school:for,3,3,2.33
note_3,3,3,3.0
boundary_name,3,3,2.0
fixme:opening_hours,3,3,2.33
source:craft,1,3,2.0
operator:contact:phone,2,3,2.0
drink:club-mate,2,3,2.0
atm:network,3,3,2.0
ski:sales,1,3,2.0
ref:BCT,3,3,2.0
naptan:Street,3,3,2.0
bar,3,3,2.0
opening_hours:showroom,3,3,2.67
diet,3,3,2.67
genus,3,3,2.0
delivery:conditional,3,3,2.67
description:1,3,3,3.0
brunch,3,3,2.0
alt_name:el,3,3,2.33
inscription:6,3,3,2.33
øx:iid,3,3,2.0
weather_protection,3,3,2.0
operator_type,3,3,2.0
door,3,3,2.0
direction_southeast:5,3,3,2.33
trolley:deposit,2,3,2.5
old_ref:FR:prix-carburants,3,3,2.0
website:orders,3,3,2.67
socket:type,3,3,2.33
branch:en,3,3,2.33
scuba_diving:type,3,3,3.0
drinking_water:type,3,3,2.0
ticket,3,3,2.0
lighthouse:shape,3,3,2.0
source:authentication,1,3,2.0
naptan:Indicator,3,3,2.33
was:ref:FR:SIRET,3,3,2.0
operator:abbr,1,3,2.0
source:parking:fee,1,3,2.0
contact:fire_phone,3,3,2.0
quiet_hours,3,3,2.33
cash_withdrawal:operator,3,3,2.0
seamark:light:colour,3,3,2.0
historic:conflict,2,3,2.0
artwork:context,2,3,2.5
post_office:operator,3,3,2.33
harbour:fuel_station,3,3,2.0
name:ms,3,3,2.67
healthcare:speciality:mn,1,3,2.0
recycling_type,2,3,2.0
source:maxheight,1,3,2.0
drink:lemonade,3,3,2.67
motorcycle:rental,2,3,2.0
operator:ref:inn,3,3,2.67
ref:cueanexo,3,3,2.0
source:changing_table,1,3,2.0
customers,2,3,2.0
guest_house,3,3,2.33
opening_hours:brunch,3,3,2.33
notes,3,3,2.67
education:repetition_rate,3,3,5.0
phases,2,3,2.0
name:ku,3,3,2.0
ref:IE:nm,3,3,2.0
Facilities,3,3,4.0
charge:youth,3,3,2.67
sport:de,3,3,2.0
survey_point:structure,2,2,2.0
wheelchair:entrance_width,2,2,3.5
financial_services,2,2,2.5
socket:typee,1,2,2.0
socket:type2:voltage,2,2,2.0
addr:province,2,2,2.0
source:building,2,2,2.5
opening_hours:carryout,2,2,2.5
direction_northwest:5,2,2,2.5
bic,2,2,2.0
community:for,2,2,2.5
source:charging_station,1,2,2.0
socket:unknown,2,2,2.5
socket:multi:type,1,2,2.0
name:etymology:wikipedia,2,2,2.0
direction_southsouthwest,2,2,2.0
crossing:markings,1,2,2.0
serial_number,2,2,2.0
person:date_of_death,2,2,2.0
inscription:fr:2,2,2,2.0
water_type,2,2,2.0
vehicle:conditional,1,2,2.0
healthcare:service,2,2,3.0
destination:ski,2,2,4.5
laptop:conditional,2,2,2.0
disused:healthcare,2,2,2.0
gtfs:stop_id,2,2,4.0
object:housenumber,2,2,2.0
loc_name:source,1,2,2.0
capacity:free:hourly:summer,2,2,9.0
description:location,2,2,2.0
reg_name,2,2,2.0
description:ca,2,2,2.0
destination:ref:to,2,2,2.5
name:ja-Latn,2,2,2.5
stars,2,2,3.0
doityourself,2,2,2.0
operator:ref:kpp,2,2,2.5
removed:contact:website,2,2,2.0
stele:material,2,2,2.0
temporary:opening_hours,1,2,2.0
destinations,2,2,5.0
charge:alpine_club_member,2,2,4.5
free_flying:site,1,2,2.0
electrical,2,2,2.5
callsign,2,2,3.5
oil,2,2,3.0
opening_hours:donation,2,2,2.0
alt_name:tl,1,2,3.0
related:wikidata,2,2,2.0
was:brand:wikidata,2,2,2.0
NOTE,2,2,2.5
defibrillator:location,2,2,2.0
direction_southwest:6,2,2,3.0
demolished:colour,1,2,2.0
subject:wikimedia_commons,2,2,2.0
inscription:zh,2,2,2.5
not:fhrs:id,2,2,2.0
member_of:wikidata,1,2,2.0
camera:type,2,2,2.5
drink:whisky,2,2,2.0
phone:conditional,2,2,2.0
opening_hours:iranian_calendar,2,2,2.5
drink:fritz-kola,1,2,2.0
vegetables,2,2,3.5
source:capacity:persons,2,2,2.0
name:th,2,2,2.0
opening_hours:nl,2,2,2.5
note_4,2,2,3.0
cargo_value,1,2,2.0
distance:forward,2,2,2.5
toilet_good,2,2,2.0
source:product,1,2,2.0
bus_routes,2,2,2.0
ref:evseid,2,2,2.0
designated,2,2,2.0
phone:telephone_cards,2,2,2.5
ref:samrun,2,2,2.0
disused:craft,2,2,2.0
alt,2,2,4.0
newspaper:brand,2,2,2.0
drink:espresso,2,2,2.0
musical_instrument:repair,2,2,2.5
payment:others,2,2,2.5
source:artist_name,1,2,2.0
boat:rental,2,2,2.5
relief,2,2,2.0
direction_southwest:colour,2,2,2.5
photopoint:prop,2,2,2.0
old_name:uk,2,2,2.0
source:bulk_purchase,1,2,2.0
alt_name:it,2,2,2.0
maxstay:only,1,2,2.0
GNS:UNI,2,2,3.0
source:capacity,2,2,2.0
platform,2,2,2.0
name:vi,2,2,2.0
direction_east:6,2,2,3.0
indoor,1,2,2.0
berries,2,2,2.5
post_office:services,2,2,2.5
socket:type2_cable:output,2,2,2.0
note:position,2,2,2.0
farm:pick_your_own,2,2,4.5
unsigned_ref,2,2,2.0
contact:phone:opening_hours,2,2,2.5
traffic_sign:forward,1,2,3.0
veterinary:for,2,2,8.0
was:phone,2,2,2.5
wetap:statusnote,2,2,2.0
beds,2,2,2.0
ref:EU:EVSE:2,2,2,2.0
width,2,2,2.0
inscription:back,2,2,2.5
source:subject,2,2,2.5
note:DE,2,2,4.0
authentication:disc:conditional,2,2,2.0
cafe,1,2,2.0
ref:FR:VHU,2,2,2.5
recycling:cans,1,2,2.0
capacity:free:hourly:fall:Thu,2,2,9.5
source:stars,2,2,2.0
booth:material,2,2,2.0
couplings:diameters,2,2,3.0
authentication:membership_card:types,2,2,2.5
address,2,2,2.0
emergency:shelter_type,2,2,2.0
bicycle:repair,2,2,2.0
healthcare:speciality:2,2,2,13.0
description:target,2,2,9.5
addr:street:it,2,2,2.0
opening hours:workshop,1,2,2.0
alt_name:nl,2,2,2.0
text,2,2,2.0
long_name,2,2,3.0
contact:icq,2,2,8.5
opening_hours:men,2,2,2.5
format:top,2,2,2.0
ref:inaturalist.org,2,2,11.0
short_name:ja,1,2,3.0
was:direction_south,2,2,2.0
operator:ja,2,2,2.0
ref:regon,2,2,2.5
computer:software,2,2,2.0
alt_name:ur,2,2,2.5
motorcycle:tours,1,2,2.0
seafood:type,2,2,7.0
communication,1,2,2.0
payment:contactless,1,2,2.0
payment:cash:denominations,1,2,2.0
source:short_name,2,2,2.5
pedestal:material,2,2,2.0
gate,1,2,2.0
destination:lang:de,2,2,6.0
source:maxspeed,2,2,2.0
darts:type,1,2,2.0
flickr,2,2,2.0
ref:nsrq,2,2,2.0
diet:vegetarian,1,2,2.0
horeca:type:nl,2,2,2.0
ref:manufacturer,2,2,2.0
source:network,1,2,2.0
second_day,1,2,4.0
childcare,2,2,2.0
planned:opening_hours,2,2,2.0
direction_west:en,2,2,2.5
opening_hours:ru,2,2,2.5
alt_name:th-Latn,2,2,2.5
source:drink:beer,1,2,2.0
tickets:public_transport,2,2,2.0
name:ar1,2,2,2.0
building_good,2,2,2.0
ref:avf,2,2,2.0
high_water:waterway,2,2,2.0
opening_hours:prescription,2,2,2.0
inscription_4,2,2,2.0
waste:disposal,1,2,2.0
high_water:height,2,2,7.0
drink:craft_beer,2,2,2.5
not:brand:wikidata,2,2,2.0
old_official_name:zh,2,2,2.0
castle_type:de,2,2,2.0
disused:beauty,2,2,3.5
disused:alt_name,2,2,2.0
fixme:2,2,2,2.5
number_building,2,2,2.5
dinner:menu,2,2,2.0
brand:zh,1,2,2.0
opening_hours:cash,2,2,2.5
live_music,2,2,2.5
contact:viber,2,2,2.0
addr:subward,2,2,2.0
survey,2,2,2.0
locality,2,2,2.0
Comments,2,2,2.0
food_sharing,2,2,3.5
amenity:for,2,2,2.0
panoramax:2,2,2,3.5
opening_hours:soon,2,2,3.0
short_name:en,2,2,3.0
historic:text,2,2,2.0
source:was,1,2,2.0
destination:country,1,2,2.0
diplomatic,1,2,2.0
drink:cola,2,2,2.0
toilets:description,2,2,2.0
opening_hours:women,2,2,3.5
collection_times:air,2,2,2.0
opening_days,2,2,2.5
recycling:bottles,1,2,2.0
standby_hours,2,2,2.5
railway:signal:distant:states,1,2,3.0
place_of_worship,2,2,2.0
tobacco,2,2,2.0
operating,2,2,2.0
genus:ru,2,2,2.0
opening_hours:2025-,2,2,2.0
kvl_hro:desc,2,2,2.0
network:zh,2,2,2.0
wreck:cargo,2,2,2.0
destination:lang:it,2,2,5.5
direction_north:foot,2,2,2.5
post_box:mouth,2,2,2.0
description:position,2,2,2.0
opening_hours:club,2,2,2.5
addr:hamlet:en,2,2,2.5
millennium:date,2,2,2.0
service:vehicle:used_car_sales,2,2,6.0
bakery,1,2,2.0
capacity:free:hourly:fall:Mo,2,2,2.5
on_air:hours,2,2,2.0
material:de,2,2,2.0
old_official_name,2,2,2.0
capacity:free:hourly:fall:weekend,2,2,13.5
was:route_ref,2,2,4.5
source:model,1,2,2.0
source:laundry_service,1,2,2.0
addr:landmark,2,2,2.0
culture,2,2,2.0
socket:type1,2,2,2.0
food:falafel,1,2,2.0
trash,1,2,2.0
brand:remarketed,2,2,2.5
composite,1,2,2.0
police:FR,2,2,2.0
source:healthcare,1,2,2.0
alt_name:gd,2,2,2.5
old_name:language,2,2,2.0
delivery_times,2,2,2.0
name:km,2,2,2.0
inscription:5,2,2,2.0
source:note:ref,1,2,2.0
pay_amount,2,2,2.0
phone_1,2,2,2.0
opening_hours:indoor_seating,2,2,2.5
toys,2,2,5.0
network:en,2,2,2.0
ref:FR:Paris:plaque,2,2,2.0
opening_hours:cuisine,2,2,3.0
ref:FR:GendarmerieNationale,2,2,2.0
vegetable,2,2,2.5
inscription:direction_south,2,2,4.5
source:no,1,2,2.0
passenger_information:scope,1,2,2.0
outdoor_seating:seasonal,2,2,2.5
alt_name:lt,2,2,2.0
service:repair,2,2,2.5
vending:ja,1,2,2.0
pcode,2,2,2.0
guide_routes,1,2,2.0
disk_repair,2,2,3.5
fixme:type,2,2,2.0
toilets:fee,1,2,2.0
industry,2,2,2.5
drink:cocktail,2,2,2.0
mapillary:image,2,2,2.0
shop:-2021,2,2,2.0
network:wikipedia,1,2,2.0
enshrine,2,2,3.0
drink:mate,2,2,2.0
addr:hamlet:it,2,2,2.5
operator:rm,1,2,2.0
post_office:stamps,2,2,2.0
ref:wien:kultur,2,2,2.0
building_status,1,2,2.0
wheel_repair,2,2,2.0
information_type,1,2,2.0
clothing,2,2,2.5
changing_table,2,2,2.0
car:rental,1,2,2.0
board:title:fr,2,2,2.0
architect:wikipedia,2,2,2.0
alt_name:ja-Hira,2,2,2.0
beer_brand,2,2,3.5
demolished:material,1,2,2.0
feeding:type,2,2,2.0
vhf,2,2,2.0
note_1,2,2,2.5
service:bicycle:rental,1,2,2.0
ski,2,2,2.0
opening_hours:old,2,2,3.5
damage_status,1,2,2.0
delivery:description,2,2,2.0
opening_hours:outdoor_seating,2,2,2.5
name:oc,2,2,2.0
fix_guidepost:ticket,2,2,2.0
alt_name:id,2,2,3.0
art,2,2,2.0
xmas:day_date,2,2,3.0
animal_training,2,2,2.0
contact:skype,2,2,3.0
access:description:ADA,2,2,2.0
person:name,2,2,2.0
post:postcode,2,2,3.5
removed:direction_south,2,2,5.5
name:kl,2,2,2.0
socket:cee:output,2,2,2.0
official_status,2,2,2.0
cityracks.housenum,2,2,2.5
car:parts,2,2,2.0
reusable_packaging:network,2,2,2.0
operator:ref:ogrn,2,2,2.5
direction_east:5,2,2,2.0
waterway:porttype,1,2,2.0
public_bookcase:type,2,2,2.0
nid:inscription_date,2,2,2.0
address:comment,2,2,2.0
inscription:en:1,2,2,5.5
source_1,2,2,2.0
kindergarten:FR,2,2,2.0
shinto:saijin,2,2,4.5
view,2,2,2.5
kitchen_equiped,1,2,2.0
addr:state,2,2,2.0
sauna:temperature,2,2,2.5
supervisor,1,2,2.0
monument,2,2,2.5
military_service,2,2,2.5
toilets:panoramax,2,2,4.0
old_name:pl,2,2,2.0
alt_name:ms,2,2,2.0
toilet_bad,2,2,2.0
residents,1,2,2.0
hands_drying,1,2,2.0
course,2,2,2.0
openfire,2,2,2.0
toilets:wheelchair:panoramax,2,2,3.0
court_area,2,2,2.0
network:guid,1,2,2.0
opening_hours:pub,2,2,2.5
motif,2,2,2.5
opening_hours:after_school,2,2,3.0
exercise,2,2,2.5
cityracks.large,2,2,2.0
source:bar,1,2,2.0
ref:GB:nhle,2,2,2.0
name:ja-Hira,2,2,3.0
name:sv,2,2,2.0
start_date:note,2,2,2.0
service:bicycle:cleaning:charge,1,2,3.0
source:level,2,2,2.0
room,2,2,2.0
highway,2,2,2.0
storage,1,2,2.0
related_law,1,2,2.0
access:note,2,2,2.0
line:RATP,1,2,2.0
tap_status,1,2,2.0
comment2,2,2,2.5
service:printing,2,2,2.5
inscription_1,2,2,2.5
not:healthcare,1,2,2.0
orienteering,1,2,2.0
was:direction_northwest,2,2,3.5
timetable,2,2,2.0
cuisine:en,2,2,3.0
description_3,2,2,4.0
users_girl,1,2,2.0
addr:milestone,2,2,2.0
was:website,2,2,2.0
opening_hours:reservation,2,2,2.0
balloon:tours,2,2,2.5
addr:complement,2,2,2.0
fictional_character,2,2,2.5
service_area,2,2,4.5
delivery_hours,2,2,3.5
name:cs,2,2,2.0
zoo,2,2,2.0
opening,2,2,3.0
boundary_name:de,2,2,2.0
rcn_ref,2,2,3.5
saint,2,2,2.0
computer:parts,2,2,2.0
note:routes,2,2,3.5
tee,2,2,3.0
doctors,2,2,2.0
seamark:daymark:colour,2,2,3.5
polling_station:precinct,2,2,2.5
fast_food,2,2,2.0
booking,2,2,2.5
school:SN,1,2,2.0
cityracks.small,1,2,2.0
inscription:en:2,2,2,5.0
name:kn,2,2,2.0
currency:EUR,2,2,2.0
authentication:phone_call:number,2,2,2.0
stećak:format,2,2,2.0
board:content,2,2,3.0
phone:delivery,2,2,2.0
name:hi,2,2,2.0
note:es,2,2,2.5
name:ps,2,2,3.0
source:drinking_water,2,2,2.0
nickname,2,2,2.0
ims:id,2,2,2.0
text4,1,2,2.0
alt_name:br,2,2,2.0
instagram,2,2,2.0
opening_hours:surgery,2,2,2.5
ref:FR:sport_equip,2,2,2.5
species:nl,2,2,2.0
brand:ar,2,2,2.0
post_box:location,2,2,2.5
squad,2,2,3.5
millennium:ref,2,2,2.0
bench,2,2,2.0
Horário de atendimento:,1,2,2.0
name:mk,2,2,2.0
ref:HU:vending_reg,2,2,3.5
id:uuid,1,2,2.0
opening_hours:mail,1,1,2.0
delivery:description:it,1,1,2.0
opening_hours:bulk,1,1,3.0
disused:ref:FR:SIRET,1,1,2.0
destination:6,1,1,2.0
donator,1,1,2.0
note:FIXME,1,1,2.0
socket:tesla_supercharger:output,1,1,2.0
for:pets,1,1,4.0
direction_east:en,1,1,2.0
opening_hours:customers,1,1,2.0
source:old_amenity,1,1,3.0
service:consulting,1,1,2.0
cuisine:es,1,1,5.0
condition,1,1,2.0
atv:rental,1,1,2.0
brewery:koelsch,1,1,2.0
takeaway:phone,1,1,2.0
surcharge,1,1,2.0
filming,1,1,2.0
transport,1,1,2.0
seamark:buoy_special_purpose:colour,1,1,3.0
via:street:zh,1,1,3.0
visa:country,1,1,2.0
crossing,1,1,2.0
healthcare:insurance,1,1,2.0
mode_of_organisation:ownership_structure,1,1,2.0
payment:gift_card,1,1,2.0
source:addr:housenumber:ref,1,1,2.0
subject:website,1,1,2.0
commodity,1,1,3.0
boat:parts,1,1,6.0
contact:ra,1,1,2.0
railway:signal:direction,1,1,2.0
opening_hours:consultation,1,1,4.0
direction_southeast:mtb,1,1,2.0
pump,1,1,2.0
laundry:drying,1,1,2.0
operator:gnr,1,1,2.0
water_place:access,1,1,2.0
note:addr:city,1,1,2.0
opening_hours:El_Techo,1,1,4.0
manufacturer:type,1,1,2.0
wheelchair:note,1,1,3.0
lunch:buffet:price,1,1,2.0
medical_system,1,1,2.0
opening_hours:release,1,1,3.0
drink:mio_mio_mate,1,1,2.0
opening_hours:courses,1,1,3.0
was:direction_northwest:route,1,1,4.0
service:cast_count,1,1,2.0
direction_south:HW5,1,1,3.0
shop1,1,1,2.0
abandoned:opening_hours,1,1,2.0
service_times:confession,1,1,4.0
opening_hours:expo,1,1,2.0
contact:pobox,1,1,2.0
membership:conditional,1,1,2.0
opening_hours:Condesa,1,1,3.0
operator:bnr,1,1,2.0
old_name_1,1,1,2.0
