key_group,distinct_keys,n,pair_share
full_id,1,610,0.0
kneipp_water_cure:*,8,610,0.0
ice_rink:*,4,609,0.0
CLA_PRES,1,608,0.0
category,1,608,0.0
ward,1,607,0.0
lgbtq:*,12,606,0.0
health_service:*,10,606,0.0
survey_point,1,605,0.0
ebike,1,605,0.0
COD_HAB,1,605,0.0
machine:*,6,601,0.0
scout,1,600,0.0
isced,1,599,0.0
opening_days,1,599,0.0
ashtray,1,590,0.0
proposed:*,41,588,0.0
paypoint,1,586,0.0
old_shop,1,585,0.0
anime,1,583,0.0
student:*,1,578,0.0
full_name:*,25,578,0.0
washing_machine,1,576,0.0
cash:*,1,576,0.0
canoe_rental,1,575,0.0
lfd:*,1,575,0.0
social_centre:*,1,573,0.0
department,1,573,0.0
container:*,9,572,0.0
taluk,1,567,0.0
kayak_rental,1,566,0.0
noele,1,564,0.0
quantity,1,562,0.0
boat:*,17,561,0.0
artwork:*,43,560,0.0
summit:*,4,556,0.0
health_person:*,4,555,0.0
old_fhrs:*,3,554,0.0
monitoring:*,43,553,0.0
flood_date,1,547,0.0
medical_staff:*,12,547,0.0
trailer,1,546,0.0
charge:*,52,546,0.0
old_phone,1,546,0.0
start_date:*,48,544,0.0
zero_waste,1,544,0.0
users_elderly,1,541,0.0
