level,key,n,row_ratio
15,name,576646,0.3837
15,shop,293269,0.1952
15,backrest,248079,0.1651
15,addr:street,203513,0.1354
15,material,165912,0.1104
15,addr:housenumber,158525,0.1055
15,addr:city,153829,0.1024
15,opening_hours,148599,0.0989
15,check_date,130982,0.0872
15,addr:postcode,127981,0.0852
15,operator,110955,0.0738
15,tourism,102904,0.0685
15,source,94122,0.0626
15,phone,87571,0.0583
16,amenity,602669,0.689
16,name,252749,0.289
16,backrest,161791,0.185
16,material,122371,0.1399
16,shop,89383,0.1022
16,operator,80585,0.0921
16,addr:street,76354,0.0873
16,tourism,75055,0.0858
16,check_date,62619,0.0716
16,source,62158,0.0711
16,historic,56988,0.0652
16,addr:city,56115,0.0642
16,addr:housenumber,54397,0.0622
16,information,52062,0.0595
16,seats,48367,0.0553
